epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,180.386,0.977,1.92839,0.19749,0.73785,0.94298,0.99169,1,0.995,0.68396,0.94834,0.95652,0.91456,0.57108,1.09748,1.59212,0.02274,0.66094,0.96604,0.00178616,0.00178616,0.00178616
110,181.991,0.99455,1.98617,0.12075,0.74317,0.96292,0.99248,1,0.995,0.69015,0.90575,0.91304,0.91032,0.46731,1.20611,2.17134,0.02227,0.67579,0.9859,0.00178418,0.00178418,0.00178418
111,183.533,0.98994,1.79352,0.12941,0.702,0.94358,0.99538,1,0.995,0.70663,0.99538,1,0.995,0.62754,1.07264,1.68265,0.02357,0.67078,0.95813,0.0017822,0.0017822,0.0017822
112,185.069,1.04748,2.04314,0.15578,0.73526,0.98743,0.95059,1,0.99333,0.71876,0.90926,0.95652,0.94289,0.6901,1.01742,1.3827,0.02596,0.65381,0.94233,0.00178022,0.00178022,0.00178022
113,186.636,1.05404,1.78825,0.1445,0.77826,0.99675,0.99331,1,0.995,0.74817,0.94996,0.95652,0.95441,0.67161,1.00982,1.32539,0.02683,0.62686,0.94414,0.00177824,0.00177824,0.00177824
114,188.309,0.97949,1.68369,0.13366,0.70759,0.95493,0.99512,1,0.995,0.75697,0.99512,1,0.995,0.68061,0.98242,1.40761,0.02619,0.63668,0.93319,0.00177626,0.00177626,0.00177626
115,189.819,1.0313,1.82996,0.1857,0.74452,0.98233,0.99518,1,0.995,0.7362,0.99518,1,0.995,0.62393,0.99378,1.7863,0.02664,0.62612,0.93863,0.00177428,0.00177428,0.00177428
116,191.361,1.01992,1.8842,0.16025,0.7099,0.94413,0.99625,1,0.995,0.72261,0.99625,1,0.995,0.66302,0.95053,1.38078,0.03079,0.60793,0.93056,0.0017723,0.0017723,0.0017723
117,192.905,1.03807,1.95841,0.14456,0.72753,0.99104,0.99573,1,0.995,0.73246,0.95233,0.95652,0.94673,0.66296,0.98015,1.33892,0.0268,0.58495,0.93636,0.00177032,0.00177032,0.00177032
118,194.499,1.05369,1.70955,0.11931,0.70857,0.95417,0.99244,1,0.995,0.76101,0.94929,0.95652,0.94657,0.6569,0.94942,1.31274,0.02383,0.59327,0.93334,0.00176834,0.00176834,0.00176834
119,196.027,1.07779,2.15254,0.14443,0.75258,1.01384,0.99619,1,0.995,0.71496,0.95288,0.95652,0.96247,0.56818,1.0336,1.60686,0.02659,0.61988,0.94849,0.00176636,0.00176636,0.00176636
120,197.549,1.01972,1.95764,0.19627,0.72925,0.99537,0.99623,1,0.995,0.67523,0.95291,0.95652,0.95,0.62502,1.09756,1.55859,0.02502,0.65684,0.96517,0.00176438,0.00176438,0.00176438
121,199.076,1.08662,1.79415,0.12515,0.70298,0.9588,0.95654,1,0.98083,0.74467,0.94675,0.95652,0.94557,0.6446,0.9925,1.46078,0.02927,0.67266,0.93987,0.0017624,0.0017624,0.0017624
122,200.71,1.11915,1.86691,0.16222,0.73309,0.96459,0.95477,1,0.97,0.71813,0.9802,1,0.995,0.65363,1.00712,1.27153,0.03362,0.6533,0.96099,0.00176042,0.00176042,0.00176042
